"Name","Address","Signal Level","Channel","Security","WPS Support","Time","Longitude","Latitude"
"Proximus Public Wi-Fi","6a:15:90:0f:a3:99","-88","1","WPA2","NO","2021-07-22 03:45:39","4.02311141","50.69176959"
"DIRECT-E7-HP ENVY Photo 6200","86:a9:3e:97:e1:e7","-72","1","WPA2","WPS","2021-07-22 03:45:45","4.02311141","50.69176959"
"WiFi-2.4-32E1","9c:97:26:88:32:e1","-89","5","WPA2","WPS","2021-07-22 03:46:39","4.02311517","50.69176737"
"Empty","42:84:6a:15:57:2a","-89","7","WPA2","NO","2021-07-22 03:45:45","4.02311141","50.69176959"
"Proximus Public Wi-Fi","9e:97:26:88:32:e4","-89","5","WPA2","NO","2021-07-22 03:46:39","4.02311517","50.69176737"
"DIRECT-E7-HP ENVY Photo 6200","86:a9:3e:97:e1:e7","-66","1","WPA2","WPS","2021-07-22 03:46:49","4.02311515","50.69176755"
"adv","f4:06:8d:cc:05:d5","-61","6","WPA2","WPS","2021-07-22 03:51:44","4.02318035","50.69180285"
"Empty","98:da:c4:ed:da:b8","-82","13","WPA2","NO","2021-07-22 03:51:50","4.02317948","50.69180264"
"DIRECT-E7-HP ENVY Photo 6200","86:a9:3e:97:e1:e7","-60","1","WPA2","WPS","2021-07-22 03:55:43","4.02320762","50.69181143"
"WiFi-2.4-DECA","68:15:90:16:de:d0","-67","1","WPA2","WPS","2021-07-22 03:55:54","4.0232075","50.6918116"
"WiFi-2.4-32E1","9e:97:26:88:32:ea","-93","48","WPA2","WPS","2021-07-22 04:13:59","4.02317626","50.69179793"
"Empty","98:da:c4:ed:da:b8","-77","13","WPA2","NO","2021-07-22 04:15:47","4.0231735","50.69179564"
"totof666","68:15:90:0f:a3:98","-82","1","WPA2","WPS","2021-07-22 04:17:53","4.0231736","50.69179493"
"adv","22:b0:01:ef:fa:81","-65","1","WPA2","WPS","2021-07-22 04:52:27","4.02295681","50.69174571"
"adv","f4:06:8d:cc:05:d5","-68","6","WPA2","WPS","2021-07-22 04:52:27","4.02295681","50.69174571"
"adv","20:b0:01:ef:fa:79","-69","112","WPA2","WPS","2021-07-22 04:52:27","4.02295681","50.69174571"
"WiFi-5.0-DECA","68:15:90:16:de:d1","-81","112","WPA2","WPS","2021-07-22 04:52:27","4.02295681","50.69174571"
"Pkrt8-2.4-C5E8","a4:b1:e9:eb:c5:e8","-89","11","WPA2","WPS","2021-07-22 04:52:27","4.02295681","50.69174571"
"adv","f4:06:8d:cc:05:d5","-61","6","WPA2","WPS","2021-07-22 05:00:33","4.02312869","50.69176756"
"adv","22:b0:01:ef:fa:81","-59","1","WPA2","WPS","2021-07-22 05:02:29","4.02312706","50.69176916"
"adv","20:b0:01:ef:fa:79","-64","112","WPA2","WPS","2021-07-22 05:02:32","4.02312706","50.69176916"
"WiFi-5.0-DECA","68:15:90:16:de:d1","-76","112","WPA2","WPS","2021-07-22 05:04:38","4.02312735","50.69177193"
"WiFi-2.4-FF1C","9c:97:26:0d:ff:1c","-91","11","WPA2","WPS","2021-07-22 05:08:42","4.02312895","50.6917727"
"DIRECT-E7-HP ENVY Photo 6200","86:a9:3e:97:e1:e7","-42","1","WPA2","WPS","2021-07-22 05:16:44","4.02313509","50.69177463"
